Date,Aircraft,Category,Total Time,PIC,SIC,Instructor,Dual Received,Night,Act Inst,Sim Inst,X-Country
2018-03-28,TH-67A,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,1.3,1.3
2018-03-29,TH-67A,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4
2018-03-30,TH-67A,Rotorcraft,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.1
2018-04-03,TH-67A,Rotorcraft,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1
2018-04-04,TH-67A,Rotorcraft,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2018-04-05,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,1.2
2018-04-06,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,1.2
2018-04-11,OH-58C,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2018-04-12,OH-58C,Rotorcraft,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6
2018-04-13,OH-58C,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-04-16,OH-58C,Rotorcraft,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.7
2018-04-17,OH-58C,Rotorcraft,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.7
2018-04-18,OH-58C,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-04-19,OH-58C,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2018-04-23,OH-58C,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-04-23,OH-58C,Rotorcraft,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6
2018-04-24,OH-58C,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-04-26,OH-58C,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-04-30,OH-58C,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-04-30,OH-58C,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-05-01,OH-58C,Rotorcraft,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1
2018-05-02,OH-58C,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-05-03,OH-58C,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-07-11,UH-60M,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-07-12,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-07-16,UH-60M,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-07-17,UH-60M,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-07-18,UH-60M,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-07-19,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-07-20,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-07-24,UH-60M,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-07-25,UH-60M,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
2018-07-26,UH-60M,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-07-27,UH-60M,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-07-30,UH-60M,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2018-08-03,UH-60M,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2018-08-03,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-08-06,UH-60M,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2018-08-07,UH-60M,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
